NAME,DOCK_SC,RMSD_LB,RMSD_UB,LABO_RMSD,HUNG_RMSD,SYMM_RMSD
SIM_1,-5.478,0.0,0.0,16.107,ERROR,ERROR
SIM_2,-5.337,18.583,20.752,9.55,ERROR,ERROR
SIM_3,-5.298,17.305,18.436,7.069,ERROR,ERROR
SIM_4,-5.29,2.046,2.706,16.906,ERROR,ERROR
SIM_5,-5.247,15.842,17.23,4.966,ERROR,ERROR
SIM_6,-5.227,15.744,16.683,6.868,ERROR,ERROR
SIM_7,-5.217,13.382,14.838,2.11,ERROR,ERROR
SIM_8,-5.153,20.535,22.566,10.733,ERROR,ERROR
SIM_9,-5.139,2.113,4.161,15.205,ERROR,ERROR
